image_paths,labels,label_names
015704.jpg,191,['Volkswagen Golf Hatchback 1991']
012849.jpg,156,['Lincoln Town Car Sedan 2011']
006220.jpg,77,['Chrysler Sebring Convertible 2010']
003024.jpg,37,['BMW X3 SUV 2012']
002574.jpg,32,['BMW X5 SUV 2007']
012208.jpg,149,['Jeep Compass SUV 2012']
003901.jpg,49,['Buick Verano Sedan 2012']
000808.jpg,10,['Aston Martin Virage Convertible 2012']
002711.jpg,34,['BMW M3 Coupe 2012']
015092.jpg,183,['Suzuki SX4 Hatchback 2012']
009526.jpg,116,['Ford E-Series Wagon Van 2012']
007446.jpg,91,['Dodge Dakota Club Cab 2007']
008330.jpg,102,['Ferrari California Convertible 2012']
009236.jpg,113,['Ford F-150 Regular Cab 2012']
003820.jpg,48,['Buick Rainier SUV 2007']
010567.jpg,128,['Honda Accord Coupe 2012']
005221.jpg,65,['Chevrolet Avalanche Crew Cab 2012']
007226.jpg,89,['Dodge Journey SUV 2012']
002880.jpg,36,['BMW M6 Convertible 2010']
006692.jpg,82,['Daewoo Nubira Wagon 2002']
011956.jpg,146,['Jeep Wrangler SUV 2012']
010216.jpg,124,['HUMMER H3T Crew Cab 2010']
007095.jpg,87,['Dodge Ram Pickup 3500 Quad Cab 2009']
007856.jpg,96,['Dodge Charger Sedan 2012']
010809.jpg,131,['Hyundai Santa Fe SUV 2012']
011076.jpg,134,['Hyundai Sonata Hybrid Sedan 2012']
003528.jpg,44,['Bentley Continental Flying Spur Sedan 2007']
008035.jpg,98,['Eagle Talon Hatchback 1998']
005752.jpg,72,['Chevrolet Monte Carlo Coupe 2007']
009451.jpg,115,['Ford Focus Sedan 2007']
011849.jpg,144,['Jaguar XK XKR 2012']
002839.jpg,35,['BMW M5 Sedan 2010']
014854.jpg,181,['Suzuki Aerio Sedan 2007']
001789.jpg,22,['Audi S5 Coupe 2012']
000921.jpg,12,['Audi RS 4 Convertible 2008']
005487.jpg,68,['Chevrolet TrailBlazer SS 2009']
016181.jpg,196,['smart fortwo Convertible 2012']
000802.jpg,10,['Aston Martin Virage Convertible 2012']
015265.jpg,186,['Toyota Sequoia SUV 2012']
008324.jpg,102,['Ferrari California Convertible 2012']
011215.jpg,137,['Hyundai Genesis Sedan 2012']
007562.jpg,93,['Dodge Challenger SRT8 2011']
005281.jpg,66,['Chevrolet Cobalt SS 2010']
014899.jpg,181,['Suzuki Aerio Sedan 2007']
001319.jpg,17,['Audi 100 Sedan 1994']
015475.jpg,188,['Toyota Corolla Sedan 2012']
005500.jpg,68,['Chevrolet TrailBlazer SS 2009']
009546.jpg,117,['Ford Fiesta Sedan 2012']
003920.jpg,49,['Buick Verano Sedan 2012']
011529.jpg,140,['Hyundai Azera Sedan 2012']
013620.jpg,166,['Mercedes-Benz Sprinter Van 2012']
000397.jpg,5,['Acura TSX Sedan 2012']
000291.jpg,4,['Acura TL Type-S 2008']
002860.jpg,35,['BMW M5 Sedan 2010']
003968.jpg,50,['Buick Enclave SUV 2012']
006925.jpg,85,['Dodge Caravan Minivan 1997']
008787.jpg,108,['Ford Freestar Minivan 2007']
005323.jpg,66,['Chevrolet Cobalt SS 2010']
011089.jpg,135,['Hyundai Elantra Sedan 2007']
008381.jpg,103,['Ferrari 458 Italia Convertible 2012']
011678.jpg,143,['Isuzu Ascender SUV 2008']
013373.jpg,163,['Mercedes-Benz SL-Class Coupe 2009']
000534.jpg,7,['Acura ZDX Hatchback 2012']
010682.jpg,130,['Hyundai Veloster Hatchback 2012']
013432.jpg,164,['Mercedes-Benz E-Class Sedan 2012']
013098.jpg,160,['McLaren MP4-12C Coupe 2012']
014510.jpg,177,['Rolls-Royce Phantom Sedan 2012']
001882.jpg,23,['Audi S4 Sedan 2012']
002034.jpg,25,['Audi TT RS Coupe 2012']
010595.jpg,128,['Honda Accord Coupe 2012']
013014.jpg,159,['Mazda Tribute SUV 2011']
006293.jpg,78,['Chrysler Town and Country Minivan 2012']
006283.jpg,78,['Chrysler Town and Country Minivan 2012']
013798.jpg,168,['Nissan Leaf Hatchback 2012']
007134.jpg,87,['Dodge Ram Pickup 3500 Quad Cab 2009']
009946.jpg,121,['GMC Acadia SUV 2012']
005867.jpg,73,['Chevrolet Malibu Sedan 2007']
004719.jpg,58,['Chevrolet Traverse SUV 2012']
008708.jpg,107,['Ford Mustang Convertible 2007']
012600.jpg,153,['Lamborghini Diablo Coupe 2001']
013265.jpg,162,['Mercedes-Benz C-Class Sedan 2012']
012339.jpg,150,['Lamborghini Reventon Coupe 2008']
006260.jpg,77,['Chrysler Sebring Convertible 2010']
003984.jpg,50,['Buick Enclave SUV 2012']
008973.jpg,110,['Ford Edge SUV 2012']
000280.jpg,4,['Acura TL Type-S 2008']
007777.jpg,95,['Dodge Durango SUV 2007']
006339.jpg,78,['Chrysler Town and Country Minivan 2012']
000393.jpg,5,['Acura TSX Sedan 2012']
008959.jpg,110,['Ford Edge SUV 2012']
006319.jpg,78,['Chrysler Town and Country Minivan 2012']
010236.jpg,124,['HUMMER H3T Crew Cab 2010']
013615.jpg,166,['Mercedes-Benz Sprinter Van 2012']
016012.jpg,194,['Volvo 240 Sedan 1993']
003562.jpg,44,['Bentley Continental Flying Spur Sedan 2007']
009219.jpg,113,['Ford F-150 Regular Cab 2012']
015794.jpg,192,['Volkswagen Beetle Hatchback 2012']
012113.jpg,148,['Jeep Grand Cherokee SUV 2012']
013206.jpg,161,['Mercedes-Benz 300-Class Convertible 1993']
014304.jpg,174,['Ram C/V Cargo Van Minivan 2012']
013383.jpg,163,['Mercedes-Benz SL-Class Coupe 2009']
011263.jpg,137,['Hyundai Genesis Sedan 2012']
003264.jpg,41,['Bentley Mulsanne Sedan 2011']
002514.jpg,31,['BMW 6 Series Convertible 2007']
006036.jpg,75,['Chevrolet Silverado 1500 Regular Cab 2012']
014669.jpg,179,['Spyker C8 Convertible 2009']
011139.jpg,135,['Hyundai Elantra Sedan 2007']
008795.jpg,108,['Ford Freestar Minivan 2007']
006880.jpg,85,['Dodge Caravan Minivan 1997']
006511.jpg,80,['Chrysler Crossfire Convertible 2008']
010924.jpg,132,['Hyundai Tucson SUV 2012']
013593.jpg,166,['Mercedes-Benz Sprinter Van 2012']
008254.jpg,101,['Ferrari FF Coupe 2012']
005734.jpg,71,['Chevrolet Express Van 2007']
010042.jpg,119,['GMC Savana Van 2012']
001823.jpg,23,['Audi S4 Sedan 2012']
001569.jpg,20,['Audi S6 Sedan 2011']
003691.jpg,46,['Bugatti Veyron 16.4 Coupe 2009']
003496.jpg,44,['Bentley Continental Flying Spur Sedan 2007']
016105.jpg,195,['Volvo XC90 SUV 2007']
002568.jpg,32,['BMW X5 SUV 2007']
000980.jpg,13,['Audi A5 Coupe 2012']
009965.jpg,122,['GMC Canyon Extended Cab 2012']
014299.jpg,174,['Ram C/V Cargo Van Minivan 2012']
013347.jpg,163,['Mercedes-Benz SL-Class Coupe 2009']
003957.jpg,49,['Buick Verano Sedan 2012']
013148.jpg,161,['Mercedes-Benz 300-Class Convertible 1993']
003160.jpg,39,['Bentley Continental Supersports Conv. Convertible 2012']
007512.jpg,92,['Dodge Magnum Wagon 2008']
001302.jpg,17,['Audi 100 Sedan 1994']
004983.jpg,62,['Chevrolet Tahoe Hybrid SUV 2012']
000850.jpg,11,['Aston Martin Virage Coupe 2012']
003291.jpg,41,['Bentley Mulsanne Sedan 2011']
013034.jpg,159,['Mazda Tribute SUV 2011']
000661.jpg,8,['Aston Martin V8 Vantage Convertible 2012']
000580.jpg,8,['Aston Martin V8 Vantage Convertible 2012']
012645.jpg,154,['Land Rover Range Rover SUV 2012']
003162.jpg,39,['Bentley Continental Supersports Conv. Convertible 2012']
003183.jpg,40,['Bentley Arnage Sedan 2009']
009364.jpg,114,['Ford F-150 Regular Cab 2007']
005599.jpg,70,['Chevrolet Silverado 1500 Classic Extended Cab 2007']
015673.jpg,191,['Volkswagen Golf Hatchback 1991']
008781.jpg,108,['Ford Freestar Minivan 2007']
015745.jpg,191,['Volkswagen Golf Hatchback 1991']
012612.jpg,154,['Land Rover Range Rover SUV 2012']
008190.jpg,101,['Ferrari FF Coupe 2012']
007081.jpg,87,['Dodge Ram Pickup 3500 Quad Cab 2009']
015970.jpg,194,['Volvo 240 Sedan 1993']
008893.jpg,109,['Ford Expedition EL SUV 2009']
000204.jpg,3,['Acura TL Sedan 2012']
013302.jpg,162,['Mercedes-Benz C-Class Sedan 2012']
009391.jpg,115,['Ford Focus Sedan 2007']
014913.jpg,181,['Suzuki Aerio Sedan 2007']
011708.jpg,143,['Isuzu Ascender SUV 2008']
013101.jpg,160,['McLaren MP4-12C Coupe 2012']
010176.jpg,123,['Geo Metro Convertible 1993']
003088.jpg,38,['BMW Z4 Convertible 2012']
013764.jpg,168,['Nissan Leaf Hatchback 2012']
007367.jpg,90,['Dodge Dakota Crew Cab 2010']
006030.jpg,75,['Chevrolet Silverado 1500 Regular Cab 2012']
006476.jpg,80,['Chrysler Crossfire Convertible 2008']
006431.jpg,79,['Chrysler 300 SRT-8 2010']
004602.jpg,57,['Chevrolet Corvette Ron Fellows Edition Z06 2007']
012331.jpg,150,['Lamborghini Reventon Coupe 2008']
010620.jpg,129,['Honda Accord Sedan 2012']
007772.jpg,95,['Dodge Durango SUV 2007']
003547.jpg,44,['Bentley Continental Flying Spur Sedan 2007']
006534.jpg,81,['Chrysler PT Cruiser Convertible 2008']
000013.jpg,1,['AM General Hummer SUV 2000']
004990.jpg,62,['Chevrolet Tahoe Hybrid SUV 2012']
014686.jpg,179,['Spyker C8 Convertible 2009']
009387.jpg,115,['Ford Focus Sedan 2007']
009081.jpg,111,['Ford Ranger SuperCab 2011']
008351.jpg,103,['Ferrari 458 Italia Convertible 2012']
015831.jpg,192,['Volkswagen Beetle Hatchback 2012']
008942.jpg,110,['Ford Edge SUV 2012']
014434.jpg,176,['Rolls-Royce Ghost Sedan 2012']
005846.jpg,73,['Chevrolet Malibu Sedan 2007']
015685.jpg,191,['Volkswagen Golf Hatchback 1991']
005506.jpg,68,['Chevrolet TrailBlazer SS 2009']
006075.jpg,75,['Chevrolet Silverado 1500 Regular Cab 2012']
011818.jpg,144,['Jaguar XK XKR 2012']
014855.jpg,181,['Suzuki Aerio Sedan 2007']
007514.jpg,92,['Dodge Magnum Wagon 2008']
007782.jpg,95,['Dodge Durango SUV 2007']
014196.jpg,173,['Porsche Panamera Sedan 2012']
010536.jpg,128,['Honda Accord Coupe 2012']
000240.jpg,4,['Acura TL Type-S 2008']
000156.jpg,3,['Acura TL Sedan 2012']
009578.jpg,117,['Ford Fiesta Sedan 2012']
013675.jpg,167,['Mitsubishi Lancer Sedan 2012']
007333.jpg,90,['Dodge Dakota Crew Cab 2010']
003995.jpg,50,['Buick Enclave SUV 2012']
015784.jpg,192,['Volkswagen Beetle Hatchback 2012']
011809.jpg,144,['Jaguar XK XKR 2012']
001365.jpg,17,['Audi 100 Sedan 1994']
009628.jpg,118,['GMC Terrain SUV 2012']
010352.jpg,126,['Honda Odyssey Minivan 2012']
013589.jpg,166,['Mercedes-Benz Sprinter Van 2012']
011317.jpg,138,['Hyundai Sonata Sedan 2012']
013695.jpg,167,['Mitsubishi Lancer Sedan 2012']
015384.jpg,187,['Toyota Camry Sedan 2012']
012570.jpg,153,['Lamborghini Diablo Coupe 2001']
015186.jpg,185,['Tesla Model S Sedan 2012']
001940.jpg,24,['Audi S4 Sedan 2007']
005059.jpg,63,['Chevrolet Sonic Sedan 2012']
010307.jpg,125,['HUMMER H2 SUT Crew Cab 2009']
006748.jpg,83,['Dodge Caliber Wagon 2012']
008799.jpg,108,['Ford Freestar Minivan 2007']
015587.jpg,190,['Volkswagen Golf Hatchback 2012']
016112.jpg,196,['smart fortwo Convertible 2012']
007497.jpg,92,['Dodge Magnum Wagon 2008']
002097.jpg,26,['BMW ActiveHybrid 5 Sedan 2012']
005936.jpg,74,['Chevrolet Silverado 1500 Extended Cab 2012']
009106.jpg,111,['Ford Ranger SuperCab 2011']
011357.jpg,138,['Hyundai Sonata Sedan 2012']
012734.jpg,155,['Land Rover LR2 SUV 2012']
010610.jpg,129,['Honda Accord Sedan 2012']
005919.jpg,73,['Chevrolet Malibu Sedan 2007']
003593.jpg,45,['Bugatti Veyron 16.4 Convertible 2009']
004359.jpg,54,['Chevrolet Silverado 1500 Hybrid Crew Cab 2012']
008522.jpg,105,['Fisker Karma Sedan 2012']
007458.jpg,91,['Dodge Dakota Club Cab 2007']
014421.jpg,176,['Rolls-Royce Ghost Sedan 2012']
002270.jpg,28,['BMW 1 Series Coupe 2012']
013868.jpg,169,['Nissan NV Passenger Van 2012']
009166.jpg,112,['Ford GT Coupe 2006']
004255.jpg,53,['Cadillac Escalade EXT Crew Cab 2007']
008723.jpg,107,['Ford Mustang Convertible 2007']
003358.jpg,42,['Bentley Continental GT Coupe 2012']
015462.jpg,188,['Toyota Corolla Sedan 2012']
001351.jpg,17,['Audi 100 Sedan 1994']
013906.jpg,169,['Nissan NV Passenger Van 2012']
002197.jpg,28,['BMW 1 Series Coupe 2012']
008967.jpg,110,['Ford Edge SUV 2012']
005801.jpg,72,['Chevrolet Monte Carlo Coupe 2007']
006155.jpg,76,['Chrysler Aspen SUV 2009']
007645.jpg,94,['Dodge Durango SUV 2012']
015261.jpg,186,['Toyota Sequoia SUV 2012']
013682.jpg,167,['Mitsubishi Lancer Sedan 2012']
006575.jpg,81,['Chrysler PT Cruiser Convertible 2008']
008654.jpg,106,['Ford F-450 Super Duty Crew Cab 2012']
001300.jpg,17,['Audi 100 Sedan 1994']
003635.jpg,45,['Bugatti Veyron 16.4 Convertible 2009']
010563.jpg,128,['Honda Accord Coupe 2012']
008826.jpg,108,['Ford Freestar Minivan 2007']
013287.jpg,162,['Mercedes-Benz C-Class Sedan 2012']
013474.jpg,164,['Mercedes-Benz E-Class Sedan 2012']
008964.jpg,110,['Ford Edge SUV 2012']
006517.jpg,80,['Chrysler Crossfire Convertible 2008']
002709.jpg,34,['BMW M3 Coupe 2012']
001917.jpg,24,['Audi S4 Sedan 2007']
011692.jpg,143,['Isuzu Ascender SUV 2008']
012374.jpg,151,['Lamborghini Aventador Coupe 2012']
014190.jpg,173,['Porsche Panamera Sedan 2012']
009113.jpg,112,['Ford GT Coupe 2006']
002241.jpg,28,['BMW 1 Series Coupe 2012']
006322.jpg,78,['Chrysler Town and Country Minivan 2012']
007225.jpg,89,['Dodge Journey SUV 2012']
004660.jpg,58,['Chevrolet Traverse SUV 2012']
003060.jpg,38,['BMW Z4 Convertible 2012']
001771.jpg,22,['Audi S5 Coupe 2012']
010154.jpg,123,['Geo Metro Convertible 1993']
008447.jpg,104,['Ferrari 458 Italia Coupe 2012']
007056.jpg,87,['Dodge Ram Pickup 3500 Quad Cab 2009']
012670.jpg,154,['Land Rover Range Rover SUV 2012']
002415.jpg,30,['BMW 3 Series Wagon 2012']
006207.jpg,77,['Chrysler Sebring Convertible 2010']
003007.jpg,37,['BMW X3 SUV 2012']
003101.jpg,38,['BMW Z4 Convertible 2012']
009614.jpg,117,['Ford Fiesta Sedan 2012']
007985.jpg,98,['Eagle Talon Hatchback 1998']
008368.jpg,103,['Ferrari 458 Italia Convertible 2012']
012438.jpg,151,['Lamborghini Aventador Coupe 2012']
004373.jpg,54,['Chevrolet Silverado 1500 Hybrid Crew Cab 2012']
012180.jpg,148,['Jeep Grand Cherokee SUV 2012']
010749.jpg,130,['Hyundai Veloster Hatchback 2012']
003453.jpg,43,['Bentley Continental GT Coupe 2007']
009632.jpg,118,['GMC Terrain SUV 2012']
000287.jpg,4,['Acura TL Type-S 2008']
009767.jpg,119,['GMC Savana Van 2012']
001625.jpg,20,['Audi S6 Sedan 2011']
000161.jpg,3,['Acura TL Sedan 2012']
001029.jpg,13,['Audi A5 Coupe 2012']
005304.jpg,66,['Chevrolet Cobalt SS 2010']
014188.jpg,173,['Porsche Panamera Sedan 2012']
014356.jpg,174,['Ram C/V Cargo Van Minivan 2012']
009069.jpg,111,['Ford Ranger SuperCab 2011']
010462.jpg,127,['Honda Odyssey Minivan 2007']
013131.jpg,160,['McLaren MP4-12C Coupe 2012']
007359.jpg,90,['Dodge Dakota Crew Cab 2010']
013831.jpg,168,['Nissan Leaf Hatchback 2012']
012768.jpg,155,['Land Rover LR2 SUV 2012']
007029.jpg,86,['Dodge Ram Pickup 3500 Crew Cab 2010']
000561.jpg,7,['Acura ZDX Hatchback 2012']
007895.jpg,97,['Dodge Charger SRT-8 2009']
004803.jpg,59,['Chevrolet Camaro Convertible 2012']
001775.jpg,22,['Audi S5 Coupe 2012']
005078.jpg,63,['Chevrolet Sonic Sedan 2012']
006975.jpg,86,['Dodge Ram Pickup 3500 Crew Cab 2010']
005069.jpg,63,['Chevrolet Sonic Sedan 2012']
007995.jpg,98,['Eagle Talon Hatchback 1998']
012876.jpg,157,['MINI Cooper Roadster Convertible 2012']
005355.jpg,66,['Chevrolet Cobalt SS 2010']
013518.jpg,165,['Mercedes-Benz S-Class Sedan 2012']
014733.jpg,179,['Spyker C8 Convertible 2009']
009897.jpg,121,['GMC Acadia SUV 2012']
011867.jpg,145,['Jeep Patriot SUV 2012']
008984.jpg,110,['Ford Edge SUV 2012']
001145.jpg,15,['Audi R8 Coupe 2012']
001677.jpg,21,['Audi S5 Convertible 2012']
000774.jpg,10,['Aston Martin Virage Convertible 2012']
005359.jpg,66,['Chevrolet Cobalt SS 2010']
004422.jpg,55,['Chevrolet Corvette Convertible 2012']
009162.jpg,112,['Ford GT Coupe 2006']
008320.jpg,102,['Ferrari California Convertible 2012']
012615.jpg,154,['Land Rover Range Rover SUV 2012']
003630.jpg,45,['Bugatti Veyron 16.4 Convertible 2009']
004866.jpg,60,['Chevrolet HHR SS 2010']
009444.jpg,115,['Ford Focus Sedan 2007']
006202.jpg,77,['Chrysler Sebring Convertible 2010']
011813.jpg,144,['Jaguar XK XKR 2012']
015459.jpg,188,['Toyota Corolla Sedan 2012']
005821.jpg,72,['Chevrolet Monte Carlo Coupe 2007']
006604.jpg,81,['Chrysler PT Cruiser Convertible 2008']
010265.jpg,125,['HUMMER H2 SUT Crew Cab 2009']
015080.jpg,183,['Suzuki SX4 Hatchback 2012']
003607.jpg,45,['Bugatti Veyron 16.4 Convertible 2009']
010987.jpg,133,['Hyundai Veracruz SUV 2012']
000898.jpg,12,['Audi RS 4 Convertible 2008']
009281.jpg,113,['Ford F-150 Regular Cab 2012']
006781.jpg,83,['Dodge Caliber Wagon 2012']
004587.jpg,57,['Chevrolet Corvette Ron Fellows Edition Z06 2007']
002735.jpg,34,['BMW M3 Coupe 2012']
014023.jpg,171,['Nissan 240SX Coupe 1998']
003955.jpg,49,['Buick Verano Sedan 2012']
000663.jpg,9,['Aston Martin V8 Vantage Coupe 2012']
005822.jpg,72,['Chevrolet Monte Carlo Coupe 2007']
012906.jpg,157,['MINI Cooper Roadster Convertible 2012']
015692.jpg,191,['Volkswagen Golf Hatchback 1991']
012051.jpg,147,['Jeep Liberty SUV 2012']
013377.jpg,163,['Mercedes-Benz SL-Class Coupe 2009']
009908.jpg,121,['GMC Acadia SUV 2012']
009056.jpg,111,['Ford Ranger SuperCab 2011']
013156.jpg,161,['Mercedes-Benz 300-Class Convertible 1993']
015896.jpg,193,['Volvo C30 Hatchback 2012']
003503.jpg,44,['Bentley Continental Flying Spur Sedan 2007']
014982.jpg,182,['Suzuki Kizashi Sedan 2012']
005417.jpg,67,['Chevrolet Malibu Hybrid Sedan 2010']
005388.jpg,67,['Chevrolet Malibu Hybrid Sedan 2010']
010104.jpg,123,['Geo Metro Convertible 1993']
010685.jpg,130,['Hyundai Veloster Hatchback 2012']
016166.jpg,196,['smart fortwo Convertible 2012']
007014.jpg,86,['Dodge Ram Pickup 3500 Crew Cab 2010']
002078.jpg,26,['BMW ActiveHybrid 5 Sedan 2012']
005394.jpg,67,['Chevrolet Malibu Hybrid Sedan 2010']
001784.jpg,22,['Audi S5 Coupe 2012']
